name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
creamy corn and potato mash,411068,30,323186,2010-02-01,"['30-minutes-or-less', 'time-to-make', 'preparation']","[142.7, 16.0, 6.0, 3.0, 3.0, 32.0, 3.0]",6,"['if using frozen corn , prepare as per packet instructions', 'cook the potato in a pot of lightly salted boiling water until tender , drain and mash with the cream', 'while the potato is cooking , melt the butter in a small pan over low heat', 'add the onion and cook , stirring , for about five-ten minutes , until very soft but not browned', 'blend the cooked corn with the cooked onion in a food processor until smooth , adding salt and pepper to taste', 'stir into the mashed potato and cream , checking the seasoning for taste']","haven't made this, but it sounds good!   the recipe calls for 6 fresh corn cobs, so i looked up the conversion charts, which suggests that 1 medium corn cob yields about 3/4 cup of corn.    that would be 4.5 cups of frozen or canned corn, which sounds like rather a lot, to 200 gr of potatoes, which is about one large potato.  although the corn is pureed, which would make a difference. so i'm going to suggest 3 cups corn, but if you feel that this is too much, or too little, adjust accordingly.   and let us know! :d
recipe comes from ""gourmet stews and mash"".","['potatoes', 'butter', 'onion', 'cream']",4
creamy corn and spinach enchiladas with chicken,351976,55,887722,2009-01-26,"['60-minutes-or-less', 'time-to-make', 'preparation']","[903.7, 74.0, 32.0, 74.0, 92.0, 93.0, 25.0]",14,"['filling: heat oil in large nonstick skillet over medium-high heat', 'add onion and cook until clear', 'add chicken , chilies , cayenne and cumin , and cook for 2 minutes , stirring constantly', 'remove from heat and stir in corn , spinach , sour cream , 1 cup monterey jack cheese and salt', 'adjust seasonings if necessary', 'lightly spray a 13x9 inch pan and a piece of aluminum foil big enough to cover it with non-stick spray', 'microwave 6 tortillas wrapped in damp paper towels on high about 1 minute , until soft enough to roll', 'keep warm during assembly by covering with clean kitchen towel', 'place a rounded 1 / 3 cup filling down each tortilla , roll into a cylinder and place seam side down in pan', 'repeat with all 12 tortillas', 'you will probably have two layers of enchiladas in the pan', 'for sauce: stir the taco sauce and sour cream together in a small bowl', 'pour evenly over enchiladas in pan', 'bake , covered with foil for 30 minutes at 350 degrees , sprinkle with cheese and cilantro , and bake uncovered 10 minutes more or until cheese is melted']","these are a great way to utilize the rotisserie chickens from the grocery store or leftover cooked chicken.  good way to get some veggies in, too!  use a measuring cup to ensure that the portions are all about the same size.","['vegetable oil', 'onion', 'rotisserie-cooked chicken', 'diced green chilies', 'cayenne pepper', 'cumin', 'cream-style corn', 'frozen creamed spinach', 'light sour cream', 'monterey jack cheese', 'salt', 'corn tortillas', 'fresh cilantro', 'green taco sauce']",14
creamy cornbread,159964,55,91613,2006-03-14,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'breads', 'easy', 'quick-breads', '3-steps-or-less']","[549.7, 34.0, 25.0, 67.0, 24.0, 50.0, 27.0]",2,"['combine ingredients and place in an 8-inch square baking dish', 'bake at 350 degrees f for 45 minutes']",from one of my daughters' co-workers.,"['whole kernel corn', 'cream-style corn', 'sour cream', 'egg', 'jiffy cornbread mix', 'salt', 'pepper']",7
creamy crab and asparagus bake,479435,50,227978,2012-05-15,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish']","[451.0, 24.0, 32.0, 66.0, 37.0, 38.0, 19.0]",15,"['preheat oven to 350', 'in large dutch oven or saucepot , cook egg noodles according to package directions', 'drain well', 'return drained noodles to saucepot', 'set aside', 'in medium skillet , saut onion , garlic and celery in vegetable oil for 3-4 minutes or until onions are soft', 'set aside to cool slightly', 'add the cooked onion mixture , crabmeat , drained asparagus , half of the parmesan cheese , parsley , and red pepper flakes to the noodle', 'mix well', 'set aside', 'whisk together the cream , horseradish cream , salt and pepper', 'pour over the crabmeat mixture , and blend well with wooden spoon or large ladle', 'pour crab and noodle mixture into a 9x13 baking dish , and sprinkle a light layer of the remaining parmesan cheese on top', 'bake at 350 for 30 minutes', 'serve hot']","time and budget friendly!  this is a simple-to-prepare dish with plenty of spices and tasty ingredients to make a creamy, cheesy crab and asparagus noodle casserole.  it’s great for busy nights when your time is limited but you have a hungry family waiting for dinner.  adjust the horseradish and red pepper flakes to whatever level of spicy pleasure you can tolerate.  i hope you enjoy it.","['wide egg noodles', 'onion', 'garlic cloves', 'celery ribs', 'vegetable oil', 'imitation crabmeat', 'asparagus spears', 'parmesan cheese', 'dried parsley', 'red pepper flakes', 'cream', 'horseradish cream', 'salt', 'ground pepper']",14
creamy dill potatoes,61073,50,24386,2003-04-25,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'potatoes', 'vegetables', 'dietary']","[383.2, 27.0, 14.0, 18.0, 14.0, 32.0, 16.0]",8,"['boil potatoes until almost done , then peel and dice', 'spread potatoes out evenly into casserole dish', 'mix together butter , milk and flour and bring to a boil , whisking constantly', 'cook for 1 minute more , then remove from heat', 'add mayonnaise and rest of ingredients and mix', 'pour mixture over potatoes in casserole', 'sprinkle paprika and additional dill on top , if desired', 'bake uncovered for 30 minutes']","a creamy, tasty potato dish that can be made ahead and baked when ready to serve. recipe found on the web.","['potatoes', 'butter', 'flour', 'milk', 'mayonnaise', 'pepper', 'salt', 'dry dill weed']",8
creamy dreamy shrimp saute,209237,20,310518,2007-02-05,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'seafood', 'shrimp', 'shellfish']","[240.6, 6.0, 6.0, 48.0, 60.0, 2.0, 6.0]",8,"['in a large deep skillet , saut onion and celery in the oil for approximately five minutes , so that celery is still crisp', 'add soup , water , and garlic , stirring to mix everything', 'bring to a boil', 'add thawed vegetables and return to low boil for 2 to 3 minutes', 'taste and adjust seasonings', 'add shrimp , stir , and cook just until heated through , 1 - 2 minutes', 'serve over pasta or rice , and top with fresh grated parmesan', 'yummm !']","i've made this a few times now and it's always quick and surprisingly satisfying for a reduced-fat entree.  i keep frozen cooked shrimp on hand as a staple for a last-minute but gourmet dinner.  they defrost in a matter of minutes, so i don't take them out of my freezer until i'm ready to start cooking.  i put the shrimp in a colander, run tepid water over them for a minute or so, and after they sit about five minutes, i can pull the tail shell off, and they're ready to heat up!  serve over pasta or rice.","['shrimp', 'oil', 'sweet onion', 'celery', 'low-fat cream of celery soup', 'water', 'frozen vegetables', 'garlic cloves', 'salt', 'pepper', 'cayenne']",11
creamy fresh herb dressing,418587,7,780172,2010-03-31,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'easy', 'salad-dressings', '3-steps-or-less']","[7.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0]",3,"['in a small bowl , whisk together all ingredients until well blended', 'refrigerate until serving or use immediately', 'store in container in refrigerator for up to 5 days']","from clean eating magazine, a wonderful and healthy salad dressing. add a little more greek yogurt and it is a great dip for smart snacking.","['greek yogurt', 'fresh lemon juice', 'honey', 'dijon mustard', 'parsley', 'fresh dill', 'lemon zest', 'black pepper']",8
creamy goat cheese polenta,355707,30,1007586,2009-02-13,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'side-dishes']","[126.1, 5.0, 0.0, 14.0, 8.0, 9.0, 6.0]",4,"['in medium pot with high sides combine the water , milk and bring to a boil over high heat', 'reduce the heat to low and slowly pour in the polenta while whisking constantly', 'cook the mixture for at least 5 minutes , stirring with a wooden spoon until thickened and cooked', 'stir in the chavrie , lemon zest and kosher salt']","this is a great side dish for any occasion.  creamy, warm and simply comforting...","['water', 'milk', 'polenta', 'lemon zest', 'kosher salt', 'fresh goat cheese']",6
creamy gorgonzola dressing,269063,5,382123,2007-11-30,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'easy', 'salad-dressings', '3-steps-or-less']","[162.4, 20.0, 3.0, 25.0, 16.0, 43.0, 0.0]",3,"['in a medium bowl , whisk together the vinegars , yogurt , and sour cream until smooth', 'stir in the crumbled cheese , salt , and pepper', 'chill for several hours before serving']","the tangy blue cheese and creamy texture of this dressing is the perfect addition to a blend of bitter endive and mixed greens, topped with fruit and nuts.","['apple cider vinegar', 'balsamic vinegar', 'plain yogurt', 'sour cream', 'gorgonzola', 'salt', 'black pepper']",7
creamy greek dressing with feta,177756,5,258613,2006-07-15,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'condiments-etc', 'easy', '3-steps-or-less']","[22.4, 1.0, 5.0, 2.0, 1.0, 1.0, 0.0]",3,"['in a bowl , whisk yogurt , feta , mayonnaise , mustard , garlic , oregano and pepper', 'keep tightly covered in the refrigerator for up to 5 days', 'makes 1 cup of dressing']","when i could no longer find my favourite light and creamy dressing at the supermarket, i found the recipe for this dressing, which is very similar in texture and taste.","['plain nonfat yogurt', 'reduced-fat feta cheese', 'light mayonnaise', 'mustard', 'garlic clove', 'dried oregano', 'pepper']",7
creamy ham and potatoes,164238,495,9717,2006-04-13,"['course', 'preparation', 'main-dish', 'crock-pot-slow-cooker', 'equipment']","[438.6, 28.0, 22.0, 39.0, 39.0, 39.0, 16.0]",9,"['in a slow cooker , layer potatoes , onions and ham', 'in a saucepan , melt butter', 'stir in flour , mustard , salt and pepper until smooth', 'combine soup and water', 'gradually stir into flour mixture', 'bring to a boil , cook and stir for 2 minutes or until thickened and bubbly', 'pour over ham', 'cover and cook on low for 8-9 hours or until potatoes are tender', 'if desired , sprinkle with cheese before serving']",great homemade flavor best describes this slow cooker dish.,"['red potatoes', 'onions', 'cooked ham', 'butter', 'all-purpose flour', 'ground mustard', 'salt', 'pepper', 'condensed cream of celery soup', 'water', 'cheddar cheese']",11
creamy herb mashed potatoes,217730,55,463435,2007-03-20,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'side-dishes', 'potatoes', 'vegetables', 'dietary']","[328.1, 17.0, 9.0, 16.0, 14.0, 35.0, 17.0]",9,"['place potatoes and garlic in a large pot and civer with water', 'bring to a boil', 'reduce heat', 'cover and simmer for 20-25 minutes until potatoes are very tender', 'drain well', ""return potatoes to pot and add the cream cheese , half n' half , butter , salt , pepper and dill"", 'mash and whip until smooth and creamy', 'stirr in snipped chives', 'transfer to a serving bowl and sprinkle with paprika']",nice and rich...great for company or a holiday sidedish,"['potatoes', 'garlic cloves', 'cream cheese', 'half-and-half', 'butter', 'salt', 'pepper', 'chives', 'fresh dill', 'paprika']",10
creamy horseradish potato salad,236386,20,67103,2007-06-21,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'side-dishes']","[308.7, 14.0, 18.0, 19.0, 10.0, 13.0, 17.0]",4,"['whisk together mayonnaise , sour cream , horseradish , vinegar , sugar , salt , and pepper in a large bowl until smooth', 'add chives and potatoes and stir to coat', 'refrigerate until ready to serve', 'cook time does not include boiling the potatoes or cooling them to room temperature']",this is a nice change from regular potato salad.  give it a couple of hours in the refrigerator for the flavors to meld.,"['mayonnaise', 'sour cream', 'white horseradish', 'white wine vinegar', 'sugar', 'salt', 'black pepper', 'fresh chives', 'boiling potatoes']",9
creamy italian chicken puff pie,211574,90,66008,2007-02-14,"['time-to-make', 'course', 'preparation', 'main-dish', '4-hours-or-less']","[798.9, 87.0, 9.0, 36.0, 91.0, 116.0, 7.0]",10,"['in a large saucepan over medium heat , melt the butter', 'add the flour and cook , stirring constantly for 1-2 minutes', 'pour in the chicken broth slowly , stirring until smooth and simmering', 'pour in the half and half slowly , stirring until smooth and simmering', 'add the italian seasoning , garlic , onions , celery , and carrots , and simmer for about 5 minutes', 'add the potatoes , chicken , salt and pepper and simmer another 5-10 minutes until the potatoes are tender', 'pour into a greased medium size casserole dish', 'cover the dish with the puff pastry , lightly sealing the edges , and brush the top with a mixture of the egg and teaspoon of water', 'bake in preheated oven at 400 degrees about 20 minutes , until the pastry is golden and puffy', 'let sit for 5-10 minutes before serving']","this is a very tasty pot pie made with a rich white sauce that includes chicken broth and italian spices. there are none of the peas that are often in pot pies, but lots of chicken and potatoes.","['whole chicken', 'butter', 'flour', 'chicken broth', 'half-and-half cream', 'italian seasoning', 'garlic clove', 'white onion', 'celery ribs', 'carrot', 'white potatoes', 'salt', 'pepper', 'puff pastry sheet', 'egg', 'water']",16
creamy kiss,298655,5,327115,2008-04-16,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', '5-ingredients-or-less', 'beverages', 'easy', 'cocktails', 'number-of-servings', '3-steps-or-less']","[83.4, 13.0, 0.0, 0.0, 1.0, 27.0, 0.0]",1,['mix in order and stir'],"a creamy almond, irish cream, and peach cocktail.","['amaretto', 'irish cream', 'peach schnapps', 'cream']",4
creamy lemon herb chicken,47575,40,60992,2002-11-24,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'poultry', 'chicken', 'dietary', 'meat']","[293.4, 24.0, 12.0, 7.0, 59.0, 21.0, 2.0]",8,"['in a large skillet heat oil over medium heat', 'add chicken and cook until browned on both sides about 20 minutes', 'remove chicken and keep warm', 'add vegetables to skillet', 'stirring constantly , cook 5 minutes or until crisp tender', 'stir in remaining ingredients , stirring constantly until mixture comes to a boil over medium heat', 'boil 1 minute', 'spoon over chicken']",i found this recipe on a knorr lemon dill (that what it was called before lemon herb) sauce mix. it has been a family favorite ever since. i often add extra lemon juice as i like things lemony.,"['oil', 'boneless skinless chicken breasts', 'mushroom', 'celery', 'carrots', 'water', 'herb and lemon soup mix', 'milk', 'butter']",9
creamy low fat garlic salad dressing,125293,5,82616,2005-06-09,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'easy', 'salad-dressings', 'dietary', '3-steps-or-less']","[12.4, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0]",3,"['in a medium glass bowl , whisk together all the ingredients till well mixed', 'pour into medium jar , cover and refrigerate', 'serve on salad cold']","this is a close tasting dressing to those served in restaurants, but with not as much fat. keeps well in the fridge.","['fat-free mayonnaise', 'nonfat sour cream', 'hot red pepper sauce', 'garlic clove', 'mustard', 'oregano', 'pepper', 'dijon mustard']",8
creamy masala chicken,90152,50,73836,2004-04-30,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'poultry', 'chicken', 'meat']","[662.0, 78.0, 15.0, 15.0, 70.0, 110.0, 7.0]",8,"['put the chicken , ginger , garlic , chilli powder , coriander , lime juice and 1 tbs of oil in a bowl', 'stir and set aside', 'heat a large shallow pan', 'heat the remaining oil in another pan and fry the onion and chili for 3 to 4 minutes , just until soft', 'add the turmeric and stir fry for 1 minute', 'lower the heat , pour in the cream and simmer for 2 to 3 minutes', 'add the chicken and simmer for 5 minutes , or until cooked', 'season and stir in the lemon juice']","the cream makes this curry quite mild, so use hot chilli powder if you like it spicy. we prefer it on the mild side. goes great with toasted naan bread and basamati rice.","['boneless chicken breasts', 'fresh gingerroot', 'garlic', 'mild chili powder', 'fresh coriander', 'lime, juice of', 'vegetable oil', 'onion', 'red chile', 'ground turmeric', 'double cream', 'lemon, juice of']",12
creamy morel mushroom sauce,326496,35,227978,2008-09-22,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish']","[291.2, 38.0, 2.0, 2.0, 4.0, 77.0, 1.0]",15,"['soak the dried morel mushrooms in the red wine just long enough to rehydrate them , about 20-30 minutes is usually sufficient', 'after the mushrooms are rehydrated , place them in a colander and rinse with cool water to remove any grit from the mushrooms', 'leave the colander in the sink to allow the excess water to drain from the colander', 'finely mince the rehydrated mushrooms', 'set aside', 'in a large skillet , saute the minced shallots in butter just until they are clear , about 3-4 minutes', 'add the minced mushrooms and beef base , and stir well', 'while stirring , add the cream and pepper , continuing to stir constantly until the sauce is thickened', 'spoon the sauce over grilled steaks , veal , lamb , grilled chicken breasts , or pasta', 'the wine is just to rehydrate the mushrooms , not to really flavor the sauce', 'so feel free to use whatever red wine you have on hand', 'i have used a lot of different red wines for this sauce , and they all seem to work just fine', 'but i probably use merlot and cabernet the most', 'but if a different variety of red wine is your favorite , then by all means use it', ""that way , if you use a wine you actually enjoy drinking , then it's more likely you'll enjoy using it in this recipe""]","this is my (and dh's) all-time favorite recipe.  we usually reserve this delectable mushroom sauce for special occasions, because it is by far the very best mushroom sauce ever!  i got the recipe from my brother-in-law who traveled quite a bit for his job as an aerospace engineer.  while in micronesia during one of his business trips, he ordered grilled steak that was served with a creamy morel mushroom sauce.  one bite, and he was completely hooked (which was my experience as well).  and it then became his personal mission in life to duplicate that recipe.  after trying various versions, he eventually came up with this recipe, and he passed it on to me (some begging and groveling was involved). i'm posting it here with his approval.  thanks, jimmy!","['morels', 'red wine', 'shallots', 'butter', 'heavy cream', 'beef base', 'black pepper']",7
creamy mushroom   roasted onion soup,399593,100,372895,2009-11-16,"['time-to-make', 'preparation', '4-hours-or-less']","[176.2, 20.0, 11.0, 0.0, 4.0, 29.0, 2.0]",26,"['heat the oven to 400 degrees', 'peel one of the onions but leave it whole', 'rub 1 tablespoon of the oil and a pinch each of the salt and pepper over the onion , then wrap it in foil', 'roast the onion until it is softened and lightly caramelized , about 1 hour', 'remove and cool', 'meanwhile , peel and chop the remaining onion', 'heat a medium , heavy-bottom saucepan over medium heat', 'add the remaining olive oil and a pinch each of salt and pepper', 'stir in the chopped onion , carrot and celery and cook until softened , about 8 to 10 minutes', 'stir in the garlic , shallots and mushrooms and cook for 5 minutes , stirring frequently', 'reserve one mushroom to garnish the finished soup', 'stir in the wine , making sure to scrape the browned bits from the bottom of the pan', 'stir in the fresh thyme and bring the contents to a gentle simmer', 'cook until the mushrooms soften , about 5 to 6 minutes', 'stir in the vegetable stock and continue to simmer until the liquid is reduced by half , about 10 minutes', 'remove from the heat and pure the soup with an immersion blender , or in batches in a blender', 'return the soup to low heat and stir in the cream', 'season with a generous teaspoon of salt and a pinch of pepper , or to taste', 'this makes about 8 cups of soup', 'chop the roasted onion into pieces no larger than one-quarter inch', 'stir the chopped onion into the soup', 'check and adjust the seasoning if desired', 'slice the reserved mushroom into 8 very thin , lengthwise slices', 'ladle the soup into warmed bowls', 'garnish each portion with a thin shaving of the parmigiano-reggiano , one-fourth teaspoon of the chives and a thin slice of mushroom', 'serve immediately']","from the la times, dec. 10, 2008
adapted from gary daniel of the cave food and wine bar at the ventura wine co., a retail shop. he recommends serving the soup with a chardonnay and crusty bread. the roasted onion can be made ahead of time. roast the onion and allow it to cool, then cover with plastic wrap and refrigerate until needed.","['onions', 'olive oil', 'salt & freshly ground black pepper', 'carrot', 'celery rib', 'garlic', 'shallot', 'cremini mushroom', 'white wine', 'fresh thyme', 'vegetable stock', 'heavy cream', 'parmigiano-reggiano cheese', 'chives']",14
creamy mushroom and almond pasta,402157,20,62264,2009-12-01,"['30-minutes-or-less', 'time-to-make', 'preparation']","[665.9, 55.0, 23.0, 25.0, 53.0, 53.0, 18.0]",7,"['cook the pasta in salted water according to package directions', 'while the pasta cooks , saute mushrooms in olive oil until lightly browned', 'add the sage leaves , almonds and garlic and cook about 2 minutes', 'add sherry , stock , cream , salt and pepper', 'cook 3-4 minutes until slightly thickened', 'add the cooked , drained pasta to the pan', 'mix together , cover with shredded parmesan and serve']","as a respite from the turkey, this lovely almost-vegetarian recipe found on a wonderful blog,  poppyseeds & tiger lilies, http://poppyseedsandtigerlilies.blogspot.com/2009/11/magazine-mondays-creamy-mushroom-and.html ,  sure hit the spot. the author notes this is a recipe she adapted from volume 38 of donna hay magazine. both the dish & the blog are worth checking out. i am posting so i misplace neither. can be made really vegetarian with vegetable stock in place of the beef stock. serve with your favorite sauteed green or simple green salad for a full meal.","['egg noodles', 'olive oil', 'garlic clove', 'button mushroom', 'sage leaves', 'slivered almonds', 'medium-dry sherry', 'beef stock', 'light cream', 'sea salt', 'black pepper', 'parmesan cheese']",12
creamy no fat coleslaw,45113,15,32772,2002-11-01,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'dietary']","[66.7, 1.0, 36.0, 11.0, 3.0, 0.0, 4.0]",4,"['in small bowl , combine the mayonnaise , vinegar , sugar , celery salt , black pepper and optional horseradish', 'stir together until combined', 'toss cabbage and carrots together in medium sized bowl , until combined', 'pour dressing over and toss to combine']",a new twist to a family favorite.,"['fat-free mayonnaise', 'cider vinegar', 'granulated sugar', 'celery salt', 'fresh ground black pepper', 'prepared horseradish', 'cabbage', 'carrots']",8
creamy noodle casserole,296312,50,480195,2008-04-03,"['60-minutes-or-less', 'time-to-make', 'preparation']","[334.6, 24.0, 5.0, 30.0, 30.0, 47.0, 11.0]",7,"['cook noodles al dente', 'do no overcook !', 'mix all other ingredients , except paprika , in a large bowl', 'add cooked and drained noodles to bowl', 'spray a 2 qt casserole with nonstick spray', 'pour noodle mixture into casserole dish and garnish with paprika', 'bake at 350 degrees for 45 minutes']","this is an easy and delicious casserole that can be served with just about anything. it's great for potlucks. i sometimes throw in a 4 oz can or diced green chilies or add 1/2 cup of pepper jack cheese for a little zip. or you can add one-half of a 10 oz pkg of frozen chopped spinach, very well drained. if you use spinach, add 1/4 tsp nutmeg to cheese mixture.
added later: i tried linda's suggestion and put the cottage cheese, sour cream, onion and garlic through the food processor first and i think it is a definite improvement on my recipe. i used tri-colored farfalle (bow ties) and added 1 c sauteed mushrooms. best yet!","['spaghetti noodles', 'cottage cheese', 'sour cream', 'butter', 'onion', 'parsley', 'garlic clove', 'worcestershire sauce', 'tabasco sauce', 'salt', 'pepper', 'paprika']",12
creamy nutella cheesecake,425837,115,1616437,2010-05-17,"['time-to-make', 'course', 'preparation', 'desserts', 'cheesecake', '4-hours-or-less']","[670.6, 70.0, 148.0, 15.0, 16.0, 145.0, 19.0]",15,"['heat oven to 350 degrees f', 'in a small mixing bowl , combine crust ingredients', 'pat into the bottom of springform pan and bake for 10 minutes', 'in the bowl of a mixer , beat cream cheese , sugar , flour and vanilla extract until just combined', 'add egg yolks and egg , beat on low until just combined', 'add milk and nutella and mix completely', 'pour filling into springform pan', 'reduce oven temperature to 300 degrees f', 'place springform pan on a deep cookie sheet and then place in oven', 'create a water bath by adding water to the outer cookie sheet , just enough to fill the pan halfway up the side of the springform pan', 'this will help buffer the heat from the bottom of the oven', 'bake for 1 1 / 2 hours , or until center appears set when shaken lightly', 'remove from water bath and cool on a wire rack', 'remove cake from pan , cool , and store in the refrigerator', 'makes about 12 slices']","do you ever crave nutella, but tired of the plan nutella on bread? then try this! it combines nutella with the classic cheesecake!","['butter', 'granulated sugar', 'chocolate cookie crumbs', 'cream cheese', 'all-purpose flour', 'vanilla extract', 'egg yolks', 'egg', 'milk', 'nutella']",10
creamy nutty russian,399904,5,58104,2009-11-17,"['15-minutes-or-less', 'time-to-make', 'preparation', 'for-1-or-2', '5-ingredients-or-less', 'easy', 'number-of-servings', '3-steps-or-less']","[226.7, 0.0, 36.0, 0.0, 0.0, 0.0, 3.0]",3,"['fill glass with ice', 'pour ingredients over ice and stir', 'enjoy !']",so yummy a must make and enjoy!,"['vodka', 'kahlua', 'walnut liqueur', 'half-and-half']",4
creamy parmesan brussels sprouts,332352,45,607984,2008-10-22,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'side-dishes']","[195.0, 23.0, 11.0, 12.0, 12.0, 45.0, 3.0]",12,"['preheat oven to 350', 'lightly coat baking dish with non-stick spray', 'in large skillet , cook onions and garlic in butter over medium heat until onions are soft', 'stir in brussels sprouts and thyme', 'cook for 5 minutes or until onions begin to brown', 'add broth and bring to a boil', 'cook 7-8 minutes , stirring occasionally until broth is nearly evaporated', 'add cream and nutmeg', 'cook for 4 minutes or until broth begins to thicken', 'transfer to baking dish , stir in 1 / 2 cheese , salt and pepper', 'sprinkle with remaining cheese', 'bake , uncovered , 20-25 minutes']",i found this recipe in a magazine and it's everyone's favorite!,"['brussels sprouts', 'onion', 'butter', 'garlic cloves', 'fresh thyme', 'chicken broth', 'heavy cream', 'ground nutmeg', 'parmesan cheese', 'salt', 'pepper']",11
creamy parmesan dressing like brio s,411023,10,285039,2010-01-31,"['15-minutes-or-less', 'time-to-make', 'preparation', 'easy', '3-steps-or-less']","[733.8, 80.0, 81.0, 63.0, 81.0, 155.0, 7.0]",5,"['in a mixing bowl add buttermilk , mayonnaise and sour cream', 'mix with a wire whisk', 'once completely blended , add the remaining ingredients and mix well', 'refrigerate immediately', 'dressing should keep for 3 to 4 days ,']","this recipe for creamy parmesan dressing, by brio tuscan grille, is from may i have that recipe ?,","['buttermilk', 'mayonnaise', 'sour cream', 'hidden valley ranch dressing mix', 'scallion', 'red wine vinegar', 'parmesan cheese', 'chives', 'cracked black pepper']",9
creamy pasta and portabellas,454920,40,488441,2011-05-02,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish']","[454.0, 34.0, 10.0, 15.0, 44.0, 55.0, 13.0]",20,"['prepare cavatappi according to package directions', 'drain and set aside', 'meanwhile clean stems of portabellas and discard', 'slice mushrooms in thin slices and drizzle with olive oil', 'place on parchment lined baking sheet and sprinke with kosher salt or sea salt', 'broil approximately 4-5 minutes until lightly browned', 'set aside', 'place drained cavatappi in a baking dish', 'add 2 t softened butter', 'add ricotta and mix until blended', 'cover with mushrooms', 'top with mozarella', 'bake uncovered about 15 minutes on 325f until cheese is melted', 'remove from oven', 'place handful of fresh arugula on each plate', 'cover with pasta and mushrooms', 'cut basil with sharp knife into chiffonade ribbons right before you use it', 'it will keep its flavor and aroma', 'sprinkle with fresh basil', 'squeeze fresh lemon on top , if desired']",creamy pasta and portabellas,"['cavatappi pasta', 'portabella mushrooms', 'fresh basil', 'arugula', 'part-skim ricotta cheese', 'mozzarella cheese', 'butter', 'olive oil', 'salt', 'pepper', 'fresh lemon juice']",11
creamy pasta with chicken  broccoli and basil   low fat version,321548,30,482376,2008-08-27,"['30-minutes-or-less', 'time-to-make', 'preparation']","[452.5, 14.0, 10.0, 59.0, 55.0, 19.0, 20.0]",17,"['bring about 2 quarts of water to a boil - add a tablespoon of salt to the boiling water', 'add pasta and use the cooking time given on the package to cook your pasta al dente', 'stir frequently at first to prevent pasta from sticking', 'add the broccoli to the boiling pasta water during the last 5 minutes of cooking', 'meanwhile , microwave broth , milk and garlic in a microwave-safe bowl until steamy hot', 'then let it stand for a few minutes', 'put butter in a saucepan over low heat', 'after butter melts , whisk in flour , then hot milk mixture', 'whisk constantly over medium-low to medium heat until sauce thickens', 'this should take about 1 to 2 minutes', 'you judge as to when the sauce thickens up', 'stir in parmesan , cooked chicken , tomatoes , basil and red pepper flakes', 'salt and pepper to taste and let simmer for about 5 minutes to blend flavors', 'drain pasta and broccoli , reserving 1 cup pasta cooking liquid and return to pasta pot', 'pour cream sauce over pasta , adding enough reserved cooking liquid to moisten', 'toss and serve immediately with a light sprinkling of parmesan', 'enjoy !']","this comes from a pam anderson recipe. i love creamy pastas like alfredos, etc... but don't like all the fat. this recipe is a great solution. by using 2 percent evaporated milk, instead of heavy cream, the fat content is cut considerably.  the flavor and consistency is still wonderful, in my opinion. i love this recipe because: it's lower in fat; you can use left-over chicken (or cooked rotisserie chicken); cooking the broccoli in the same pot as the pasta saves an extra pot to wash, it's an easy one-dish meal! there are many variations you could try with this recipe, too. notes:  1.this recipe calls for diced tomatoes - if you'd prefer a more traditional alfredo-type sauce, i think you could probably omit the tomatoes and it would be just fine. 2. also, if you like your pasta spicier you could add more red pepper flakes than the amount called for. 3. i find it very helpful to have all my ingredients prepped/chopped and ready before i start cooking - especially for this recipe.  4. make sure you reserve about a cup of the pasta cooking water - it helps to thin out the finished product, if necessary. 
have fun and enjoy!","['dry pasta', 'salt', 'broccoli florets', 'chicken broth', '2% evaporated milk', 'garlic cloves', 'butter', 'all-purpose flour', 'parmesan cheese', 'cooked chicken breasts', 'diced tomato', 'fresh basil', 'hot red pepper flakes']",13
